Slide,Number,Comment,   SiO2  ,   MgO   ,   CaO   ,   Nd2O3 ,   Ce2O3 ,   La2O3 ,   Y2O3  ,   Pr2O3 ,   Gd2O3 ,   Eu2O3 ,   Al2O3 ,   F     ,   Sm2O3 ,   FeO   ,   MnO   ,   TiO2  ,   Cl    ,   Na2O  ,   K2O   ,  Total  ,Si_T,Al_T,Sum_T,Al_M,Ti_M,Cr_M,Fe_M,Mn_M,Mg_M,M_Sum,Ca_I,Na_I,K_I,Ba_I,Total_Cations,F_A,Cl_A,OH_A,XAlcel,XFeAlcel,Xprl,Xmrg,Xpg,Xms,XTriOct,Xphl,Xann,Xeas,Xsid,XDiOct,,,,,
EDC29B,78,EDC29B 3 EDC29B-bt_in_cluster-3 ,38.174,16.557,0.034,0.07,0.009,0,0,0.07,0.018,0.077,13.528,2.24,0,14.915,0.157,0.844,0.41,0.116,10.283,96.466,2.885420405,1.114579595,4,0.090518896,0.047993121,0,0.942810875,0.010051245,1.865634384,2.957008521,0.002753494,0.016999512,0.991550915,0,7.968312443,0.53546757,0.052524346,1.412008083,0.028558997,0.014432481,0,0,0,0,0.957008521,0.562893074,0.284461798,0.072842302,0.036811347,0.042991479,,,,,
EDC29B,79,EDC29B 4 EDC29B-bt_in_cluster-4 ,37.728,16.29,0,0.006,0,0,0,0.092,0,0,13.221,2.384,0.029,14.965,0.164,0.875,0.372,0.087,10.324,95.449,2.88695554,1.11304446,4,0.079262656,0.050370873,0,0.957663487,0.01062916,1.858235941,2.956162118,0,0.012907217,1.007808606,0,7.97687794,0.576934207,0.048245257,1.374820537,0.028928991,0.014908892,0,0,0,0,0.956162118,0.559650763,0.288422524,0.071328737,0.036760094,0.043837882,,,,,
EDC29B,80,EDC29B 5 EDC29B-bt_in_cluster-5 ,37.746,16.181,0,0,0,0,0,0.046,0,0,13.39,2.473,0,15.338,0.143,0.906,0.385,0.113,10.366,95.959,2.877023969,1.122976031,4,0.079843968,0.051951233,0,0.977690002,0.009231821,1.838575047,2.95729207,0,0.016698906,1.007946552,0,7.981937528,0.596129188,0.049735747,1.354135065,0.027881514,0.014826416,0,0,0,0,0.95729207,0.548104995,0.291463095,0.076855114,0.040868865,0.04270793,,,,,
EDC29B,86,EDC29B 11 EDC29B-big_bt-11 ,37.73,16.194,0.039,0.046,0,0.019,0,0.111,0,0.016,13.67,2.591,0.038,15.374,0.167,0.913,0.359,0.084,10.066,96.245,2.868536542,1.131463458,4,0.093405462,0.052220313,0,0.977508076,0.010753971,1.835401894,2.969289716,0.003176888,0.012381975,0.976302187,0,7.961150766,0.622995228,0.046259763,1.330745009,0.020038222,0.010672062,0,0,0,0,0.969289716,0.549309416,0.292554122,0.083144591,0.044281587,0.030710284,,,,,
EDC29B,87,EDC29B 12 EDC29B-big_bt-12 ,38.046,16.597,0.003,0,0,0,0.036,0.068,0.013,0,13.079,2.207,0.001,15.059,0.143,0.884,0.395,0.084,10.063,95.66,2.896162345,1.103837655,4,0.069534986,0.050624562,0,0.958671747,0.009219953,1.883419022,2.97147027,0.00024468,0.012397389,0.977226254,0,7.961338594,0.531324642,0.050961988,1.41771337,0.018906305,0.009623424,0,0,0,0,0.97147027,0.576932779,0.293662297,0.066848766,0.034026429,0.02852973,,,,,
EDC29B,88,EDC29B 14 EDC29B-big_bt-14 ,37.923,16.415,0.009,0,0.029,0.02,0.026,0.082,0,0.041,13.414,2.25,0,15.01,0.145,0.94,0.389,0.089,10.316,96.063,2.880967043,1.119032957,4,0.081962666,0.053722791,0,0.953621848,0.009330016,1.859002399,2.95763972,0.000732558,0.013108791,0.999771361,0,7.97125243,0.540582333,0.050086487,1.40933118,0.027998003,0.014362277,0,0,0,0,0.95763972,0.557609349,0.286039683,0.075342081,0.038648608,0.04236028,,,,,
EDC29B,89,EDC29B 16 EDC29B-big_bt-16 ,37.869,16.242,0.015,0,0.003,0,0,0.121,0,0.005,13.344,2.107,0,14.806,0.152,1.012,0.383,0.084,10.38,95.55,2.886905066,1.113094934,4,0.085803016,0.058039584,0,0.943944166,0.009814565,1.845829705,2.943431036,0.001225191,0.012415522,1.009484776,0,7.966556524,0.507992063,0.049486052,1.442521884,0.037428365,0.019140599,0,0,0,0,0.943431036,0.553617644,0.283116121,0.070595325,0.036101946,0.056568964,,,,,
EDC08,158,EDC08#2 10 EDC08#2-bt_w_sulfide-10 ,40.626,22.449,0,0,0.036,0,0.046,0,0.012,0,12.82,1.76,0.014,5.936,0.058,1.512,0.179,0.088,10.371,95.126,2.952273621,1.047726379,4,0.050237583,0.08266077,0,0.360749992,0.003569927,2.431940811,2.929159083,0,0.012398589,0.961450502,0,7.903008174,0.404491068,0.022046565,1.573462367,0.061689936,0.009150981,0,0,0,0,0.929159083,0.770516559,0.114297125,0.038617016,0.005728383,0.070840917,,,,,
EDC08,159,EDC08#2 11 EDC08#2-bt_w_sulfide-11 ,40.506,22.309,0,0.066,0.007,0,0.015,0.066,0.046,0.028,13.094,1.695,0.019,6.068,0.026,1.54,0.172,0.074,10.422,95.4,2.940056078,1.059943922,4,0.060154308,0.084091498,0,0.368333928,0.001598411,2.413903021,2.928081166,0,0.010413699,0.965030588,0,7.903525452,0.389089655,0.02115924,1.589751105,0.062397666,0.009521168,0,0,0,0,0.928081166,0.756946919,0.115501422,0.048267724,0.007365101,0.071918834,,,,,
EDC08,160,EDC08#2 12 EDC08#2-bt_w_sulfide-12 ,40.757,22.629,0,0.041,0,0.013,0.01,0.102,0,0,13.042,1.888,0,5.968,0.063,1.466,0.176,0.076,10.363,95.759,2.944909498,1.055090502,4,0.055519187,0.079689083,0,0.360627178,0.003855574,2.437465991,2.937157013,0,0.010646831,0.955232293,0,7.903036137,0.431435084,0.021553499,1.547011417,0.054743582,0.008099405,0,0,0,0,0.937157013,0.771398815,0.114129747,0.044974411,0.006654039,0.062842987,,,,,
