Slide,Number,Comment,   SiO2  ,   MgO   ,   CaO   ,   Nd2O3 ,   Ce2O3 ,   La2O3 ,   Y2O3  ,   Pr2O3 ,   Gd2O3 ,   Eu2O3 ,   Al2O3 ,   F     ,   Sm2O3 ,   FeO   ,   MnO   ,   TiO2  ,   Cl    ,   Na2O  ,   K2O   ,  Total  ,Si_T,Al_T,Sum_T,Al_M,Ti_M,Cr_M,Fe_M,Mn_M,Mg_M,M_Sum,Ca_I,Na_I,K_I,Ba_I,Total_Cations,F_A,Cl_A,OH_A,XAlcel,XFeAlcel,Xprl,Xmrg,Xpg,Xms,XTriOct,Xphl,Xann,Xeas,Xsid,XDiOct,,,,,
EDC017,243,EDC017 10 EDC017-big_bt-10 ,39.923,21.443,0.042,0.077,0.031,0.013,0,0.037,0,0,13.571,1.125,0.049,6.245,0.051,2.276,0.195,0.092,10.295,94.947,2.904557228,1.095442772,4,0.06819052,0.124573062,0,0.379969824,0.00314272,2.325657592,2.901533719,0.003273933,0.012977219,0.955513604,0,7.873298475,0.25885289,0.024045109,1.717102001,0.084637985,0.013828295,0,0,0,0,0.901533719,0.700964148,0.114524694,0.073961005,0.012083873,0.098466281,,,,,
EDC017,244,EDC017 11 EDC017-big_bt-11 ,40.159,21.639,0,0,0,0,0,0.054,0,0,13.53,1.201,0.068,6.396,0.059,2.144,0.188,0.073,10.489,95.452,2.908521413,1.091478587,4,0.063395643,0.116817866,0,0.387398314,0.003619263,2.336307599,2.907538686,0,0.0102506,0.969119239,0,7.886908525,0.275090827,0.023077172,1.701832001,0.07931035,0.013150964,0,0,0,0,0.907538686,0.707245385,0.117272944,0.0712122,0.011808157,0.092461314,,,,,
EDC017,256,EDC017 24 EDC017-big_bt-24 ,39.632,21.33,0.119,0,0,0.029,0.006,0.059,0.059,0,13.436,1.206,0,6.159,0.062,2.262,0.176,0.113,10.125,94.225,2.904098592,1.095901408,4,0.064432225,0.12469616,0,0.377429174,0.003848007,2.330020175,2.900425742,0.009342779,0.016053911,0.94648591,0,7.872308342,0.279483646,0.02185815,1.698658204,0.085693212,0.013881046,0,0,0,0,0.900425742,0.700588551,0.113485094,0.074314272,0.012037825,0.099574258,,,,,
EDC02,201,EDC02 5 EDC02-amph_btinc-5 ,38.778,18.867,0.104,0,0.006,0.035,0,0.112,0,0.004,12.097,2.126,0.052,12.425,0.039,0.702,0.316,0.077,10.164,94.938,2.937388386,1.062611614,4,0.017332214,0.04000444,0,0.787104256,0.002502185,2.130503616,2.97744671,0.008440595,0.011308467,0.982187444,0,7.979383216,0.509310879,0.040569385,1.450119736,0.016468925,0.006084365,0,0,0,0,0.97744671,0.669064537,0.247182657,0.044689278,0.016510238,0.02255329,,,,,
EDC02,210,EDC02 14 EDC02-big_bt-14 ,39.591,19.271,0,0,0,0.026,0.006,0.158,0,0,12.333,2.229,0,11.976,0.049,0.673,0.318,0.147,10.205,95.971,2.953868071,1.046131929,4,0.038321417,0.037775028,0,0.747250658,0.003096489,2.143395593,2.969839186,0,0.021264198,0.971317887,0,7.96242127,0.525954793,0.040212133,1.433833074,0.02236405,0.007796765,0,0,0,0,0.969839186,0.685954683,0.23914395,0.033174832,0.011565721,0.030160814,,,,,
EDC02,211,EDC02 15 EDC02-big_bt-15 ,39.453,19.159,0,0.125,0.034,0,0,0.175,0.074,0.024,12.542,2.246,0,12.231,0.054,0.722,0.326,0.14,10.352,96.637,2.937500914,1.062499086,4,0.038057287,0.040441782,0,0.761587558,0.003405419,2.126543517,2.970035563,0,0.020209848,0.983277261,0,7.973522672,0.528873073,0.041138736,1.429988191,0.022062946,0.007901491,0,0,0,0,0.970035563,0.669601983,0.239807243,0.044639436,0.0159869,0.029964437,,,,,
EDC02,212,EDC02 16 EDC02-big_bt-16 ,39.868,19.436,0.032,0.027,0,0,0.013,0.036,0,0,12.374,2.232,0,11.728,0.05,0.614,0.348,0.15,10.114,96.003,2.963354049,1.036645951,4,0.047322701,0.034333856,0,0.72902588,0.003147805,2.153621817,2.96745206,0.002548431,0.0216166,0.959037958,0,7.950655048,0.524683019,0.043840319,1.431476662,0.024316518,0.008231422,0,0,0,0,0.96745206,0.696294964,0.235703894,0.026487034,0.008966167,0.03254794,,,,,
EDC02,213,EDC02 17 EDC02-big_bt-17 ,39.12,19.405,0,0,0.027,0,0.006,0.044,0.051,0.015,12.427,2.37,0.02,11.411,0.026,0.6,0.343,0.141,10.267,95.198,2.941554815,1.058445185,4,0.042820017,0.033940987,0,0.71756575,0.001655885,2.175180022,2.971162661,0,0.020555794,0.98486208,0,7.976580534,0.563598945,0.043712696,1.392688359,0.021684036,0.007153303,0,0,0,0,0.971162661,0.687578872,0.226824007,0.042680122,0.014079659,0.028837339,,,,,
EDC02,214,EDC02 18 EDC02-big_bt-18 ,39.004,19.179,0.004,0.089,0,0,0.013,0.129,0.008,0,12.487,2.317,0.046,12.093,0.067,0.693,0.348,0.157,10.259,95.838,2.926892919,1.073107081,4,0.031234225,0.039122449,0,0.758912376,0.004258447,2.145493012,2.97902051,0.000321604,0.022842013,0.982101717,0,7.984285844,0.549879395,0.044260091,1.405860515,0.015497613,0.005481878,0,0,0,0,0.97902051,0.670333965,0.237113213,0.052871436,0.018701896,0.02097949,,,,,
EDC024,317,EDC024 3 EDC024-big_biotite-3 ,40.512,22.077,0,0.016,0.033,0.029,0.019,0.126,0,0.007,12.049,2.994,0,7.849,0.071,0.766,0.166,0.095,10.539,96.05,2.974312046,1.025687954,4,0.016872793,0.042308412,0,0.481922354,0.004415094,2.416275013,2.961793666,0,0.013522702,0.987088302,0,7.96240467,0.695181759,0.020656004,1.284162237,0.031853252,0.006353082,0,0,0,0,0.961793666,0.781265039,0.155822116,0.020598226,0.004108285,0.038206334,,,,,
EDC024,318,EDC024 4 EDC024-big_biotite-4 ,40.405,21.986,0.016,0.104,0,0,0.006,0.071,0,0,12.049,3.145,0,7.873,0.066,0.777,0.154,0.111,10.477,95.881,2.97288844,1.02711156,4,0.017709756,0.043009029,0,0.484444075,0.004113071,2.411532859,2.960808789,0.001261326,0.01583447,0.983409047,0,7.961313632,0.731826071,0.019204349,1.24896958,0.032635236,0.006555974,0,0,0,0,0.960808789,0.77839152,0.156368245,0.021691499,0.004357526,0.039191211,,,,,
EDC024,319,EDC024 5 EDC024-big_biotite-5 ,40.764,22.46,0.001,0,0.041,0,0.004,0.046,0,0.016,12.171,3.303,0.042,7.558,0.059,0.742,0.171,0.067,10.525,96.54,2.973641199,1.026358801,4,0.020011858,0.040720283,0,0.461082411,0.003645378,2.44244607,2.967906001,7.82E-05,0.009475969,0.97946209,0,7.956922218,0.762015968,0.021141863,1.21684217,0.026997449,0.00509655,0,0,0,0,0.967906001,0.792740447,0.149652712,0.021461384,0.004051458,0.032093999,,,,,
EDC024,323,EDC024 9 EDC024-vein_bt-9 ,40.58,22.417,0,0,0.037,0.001,0,0,0,0.039,12.09,3.249,0.096,7.448,0.069,0.778,0.173,0.113,10.578,96.261,2.970607061,1.029392939,4,0.013661524,0.042845763,0,0.455966284,0.0042782,2.446324795,2.963076566,0,0.016037942,0.987848816,0,7.966963324,0.752188351,0.021464197,1.226347452,0.031122555,0.00580088,0,0,0,0,0.963076566,0.787911451,0.146857464,0.023860359,0.004447291,0.036923434,,,,,
EDC024,324,EDC024 10 EDC024-vein_bt-10 ,39.928,21.836,0.07,0,0,0,0.015,0.163,0,0.022,11.834,3.097,0.024,7.474,0.076,0.671,0.143,0.071,10.404,94.492,2.979037106,1.020962894,4,0.019621814,0.037663094,0,0.466349317,0.004802758,2.428705747,2.95714273,0.005595774,0.010270551,0.990267335,0,7.96327639,0.730774336,0.01808297,1.251142694,0.035953616,0.006903654,0,0,0,0,0.95714273,0.786129202,0.150949046,0.016832399,0.003232083,0.04285727,,,,,
EDC024,325,EDC024 11 EDC024-vein_bt-11 ,41.171,22.731,0,0,0,0.045,0,0.156,0.053,0.037,12.262,3.133,0,7.302,0.067,0.744,0.155,0.099,10.607,97.208,2.978506016,1.021493984,4,0.023986419,0.040492549,0,0.441782787,0.004105449,2.451484022,2.961851226,0,0.013886068,0.978933948,0,7.954671242,0.716821771,0.019005274,1.264172956,0.032323708,0.005825067,0,0,0,0,0.961851226,0.797465649,0.143711562,0.017517229,0.003156786,0.038148774,,,,,
EDC024,329,EDC024 15 EDC024-beingreplaced-15 ,40.291,22.073,0.015,0,0,0,0.063,0.068,0.031,0.023,12.077,3.145,0,7.956,0.076,0.725,0.155,0.094,10.543,95.976,2.964988834,1.035011166,4,0.012410615,0.040137298,0,0.489631879,0.004737044,2.421474155,2.968390992,0.001182688,0.013411579,0.989767016,0,7.972752274,0.731946589,0.019332236,1.248721175,0.026292548,0.00531646,0,0,0,0,0.968390992,0.777311052,0.157175442,0.028201949,0.005702548,0.031609008,,,,,
